店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
創作和風 個室居酒屋 萬屋 ～banya～ 旭川店,050-5487-7010,,北海道,旭川市,2条通8-569-1,佐々木ビルB1,https://ha10002.gorp.jp/,TRUE
梅田焼肉 個室 食べ放題 焼肉マニア ウッシーニ 梅田店,050-5494-7646,,大阪府,大阪市北区堂山町,2-11,MKビートルビル3F,https://kc9m008.gorp.jp/,TRUE
地鶏食べ放題 完全個室 ごちそうさん上野店,050-5489-4854,,東京都,台東区上野,6-4-14,,https://ge6a114.gorp.jp/,TRUE
肉寿司・焼き鳥・ステーキ食べ放題 居酒屋 一空ISHORA新宿東口店,050-5494-5246,,東京都,新宿区歌舞伎町,1-15-8,白木ビル3F,https://ggys702.gorp.jp/,TRUE
地鶏専門店 いいとこ鶏 池袋東口店,050-5485-4044,,東京都,豊島区南池袋,1-23-11,ブロンズビル11F,https://ge6a105.gorp.jp/,TRUE
時間無制限食べ放題 北京火考鴨店（ペキンカォヤーテン） 中華街,050-5484-2233,,神奈川県,横浜市中区山下町市場通,191-10,,https://gdfb101.gorp.jp/,TRUE
横浜中華街 品珍閣 151品オーダー式食べ放題,050-5484-2806,,神奈川県,横浜市中区山下町,131-12,,https://hinchinkaku-yokohama.gorp.jp/,TRUE
龍盛菜館 水天宮店,050-5485-2579,,東京都,中央区日本橋蛎殻町,2-13-4,龍盛ビル,https://ryuseisaikan2011.gorp.jp/,TRUE
完全個室居酒屋 山桜～yamazakura～八王子店,050-5485-5491,,東京都,八王子市中町,5-9,三成堂ビル2F,https://b676801.gorp.jp/,TRUE
香港小皿酒家・飲茶点心福盈門 鶴見本店,045-506-0588,,神奈川県,横浜市鶴見区鶴見中央,1-7-11,ネオマイム鶴見デュークレア弐番館1F,https://g926000.gorp.jp/,TRUE
肉バル 食べ放題 J’adore 難波・心斎橋,050-5484-5906,,大阪府,大阪市中央区心斎橋筋,2-5-5,Shinsaibashi GATE 8F,https://k219107.gorp.jp/,TRUE
もつ鍋食べ放題 個室居酒屋 はるか 渋谷支店,050-5489-0500,,東京都,渋谷区宇田川町,30-5,渋谷JOWビル6F,https://ggyt202.gorp.jp/,TRUE
鴻福餃子酒場,050-5487-0296,,東京都,台東区根岸,3-7-18,,https://gftz600.gorp.jp/,TRUE
完全個室 和ダイニング 紫音 ～SHION～ 上野店,050-5485-7377,,東京都,台東区上野,4-9-6,ナガフジビル5F,https://g725428.gorp.jp/,TRUE
全席個室 TOMORI～ともり～名駅店,050-5488-7411,,愛知県,名古屋市中村区名駅,3-22-8,大東海ビルB1,https://g725448.gorp.jp/,TRUE
シュラスコ＆肉寿司 食べ放題 肉バル個室居酒屋 カナタ 渋谷店,050-5489-0558,,東京都,渋谷区宇田川町,31-9,6F,https://ggyt203.gorp.jp/,TRUE
中華居酒屋 食べ放題 嘉楽飯店（カラクハンテン）荻窪本店,050-5486-8250,,東京都,杉並区荻窪,3-48-10,出川ビル1F,https://karakuhanten-ogikubo.gorp.jp/,TRUE
しゃぶ一 パームシティ店,050-5484-1716,,和歌山県,和歌山市中野,31-1,,https://shabu1.gorp.jp/,TRUE
250席全席扉付き完全個室居酒屋 わらやき道場 新橋駅前店,050-5488-2804,,東京都,港区新橋,2-16-1,ニュー新橋ビル3F,https://ggsz700.gorp.jp/,TRUE
横浜中華街 小籠包専門×食べ放題 王府井酒家（ワンフーチン）,050-5485-4513,,神奈川県,横浜市中区山下町,152,,https://wanfutinsyuka.gorp.jp/,TRUE
屋上ビアガーデン BBQ 食べ放題 天空ラウンジ 新宿東口,050-5486-5315,,東京都,新宿区歌舞伎町,1-21-1,第二東亜会館ビル屋上,https://gf6d300.gorp.jp/,TRUE
韓国料理とサムギョプサル サム家,050-5485-5585,,神奈川県,茅ヶ崎市共恵,1-3-19,,https://samuya8872.gorp.jp/,TRUE
中華ダイニング 四川厨房 横浜西口店,050-5484-2042,,神奈川県,横浜市西区南幸,2-16-11,横浜二幸ビル6F,https://shisenchubouyokohama.gorp.jp/,TRUE
完全個室居酒屋×モツ鍋 Moga＿Ru ～モガル～ 静岡駅前店,050-5486-5615,,静岡県,静岡市葵区御幸町,5-2,Revive2007 1F,https://mogarushizuoka.gorp.jp/,TRUE
